,angle_of_attack,boat_angle,boat_heel,boat_speed,course_error,datetime,rudder_angle,target_angle,wind_direction,wind_speed
0,-8.411053082683765,20.435884380288286,0.8343113,-0.23156971705119458,-9.026840024379226,2018-11-16 11:13:35.696950,-10.0,27.786840024379217,10.348946917316248,19.68156130673252
0,-9.220781491496979,20.224057360372527,0.8343113,0.22169818637121033,-9.026840024379226,2018-11-16 11:13:35.715107,-10.0,27.786840024379217,9.53921850850303,19.68156130673252
0,-8.411053082683765,18.756325352295626,0.8343113,0.28277803386387024,-9.026840024379226,2018-11-16 11:13:35.733204,-10.0,27.786840024379217,10.348946917316248,103.0
0,-8.411053082683765,18.94088789397281,0.8343113,0.1998661495579145,-9.026840024379226,2018-11-16 11:13:35.751217,-10.0,27.786840024379217,10.348946917316248,19.68156130673252
0,-9.027045929602139,16.57023540796171,0.8343113,-0.14417001793526227,-9.026840024379226,2018-11-16 11:13:35.770354,-10.0,27.786840024379217,9.73295407039786,19.68156130673252
0,-9.918631117458062,18.709194849131375,0.8343113,0.5994586027584798,-9.026840024379226,2018-11-16 11:13:35.788665,-10.0,27.786840024379217,8.841368882541929,19.68156130673252
0,-9.305803703141919,16.84959645795133,0.8343113,-0.424207169655867,-9.026840024379226,2018-11-16 11:13:35.807314,-10.0,27.786840024379217,9.454196296858079,19.68156130673252
0,-9.49601980745382,20.213729059625834,0.8343113,0.08778700797953778,-9.026840024379226,2018-11-16 11:13:35.826501,-10.0,27.786840024379217,9.263980192546171,19.68156130673252
0,-8.524662245270406,20.68414696374054,0.8343113,0.6859186737435041,-9.026840024379226,2018-11-16 11:13:35.844584,-10.0,27.786840024379217,10.23533775472961,19.68156130673252
0,-8.411053082683765,18.053378890844282,0.8343113,-0.17293461592407117,-9.026840024379226,2018-11-16 11:13:35.862849,-10.0,27.786840024379217,10.348946917316248,19.68156130673252
0,-8.536209298519196,17.552491592067234,0.8343113,0.033052018988725985,-9.026840024379226,2018-11-16 11:13:35.880969,-10.0,27.786840024379217,10.2237907014808,19.68156130673252
0,-8.411053082683765,19.3348702899973,0.8343113,-0.1185075538368249,-9.026840024379226,2018-11-16 11:13:35.900570,-10.0,27.786840024379217,10.348946917316248,19.68156130673252
0,-8.411053082683765,19.49172414611934,0.8343113,-0.2494421639395043,-9.026840024379226,2018-11-16 11:13:35.920535,-10.0,27.786840024379217,10.348946917316248,19.68156130673252
0,-8.411053082683765,18.74872138080784,0.8343113,-0.11228715926674099,-9.026840024379226,2018-11-16 11:13:35.940293,-10.0,27.786840024379217,10.348946917316248,19.68156130673252
0,-9.358340938956275,18.87221538932913,0.8343113,-0.0694587855760249,-9.026840024379226,2018-11-16 11:13:35.958893,-10.0,27.786840024379217,9.401659061043716,19.68156130673252
0,-10.3090824113537,18.69908907998401,0.8343113,0.1810415916579747,-9.026840024379226,2018-11-16 11:13:35.977324,-10.0,27.786840024379217,8.450917588646295,19.68156130673252
0,-9.791624260145483,18.91266814052061,0.8343113,-0.056741779883589395,-9.026840024379226,2018-11-16 11:13:35.996552,-10.0,27.786840024379217,8.968375739854524,19.68156130673252
0,-9.054864702286466,17.19571713421646,0.8343113,-0.5513358970189982,-9.026840024379226,2018-11-16 11:13:36.015360,-10.0,27.786840024379217,9.705135297713536,19.68156130673252
0,-9.67900610095964,19.093034472799353,0.8343113,0.029179323398505447,-9.026840024379226,2018-11-16 11:13:36.033885,-10.0,27.786840024379217,9.08099389904035,19.68156130673252
0,-8.916118174695072,18.974626514729746,0.8343113,-0.17229572674783808,-9.026840024379226,2018-11-16 11:13:36.052023,-10.0,27.786840024379217,9.843881825304926,19.68156130673252
0,-9.493625150702456,19.395487579928282,0.8343113,-0.13851089162545863,-9.026840024379226,2018-11-16 11:13:36.070201,-10.0,27.786840024379217,9.26637484929754,19.68156130673252
0,-9.757405042287417,17.872284818944753,0.8343113,-0.2448152461305212,-9.026840024379226,2018-11-16 11:13:36.088379,-10.0,27.786840024379217,9.002594957712585,19.68156130673252
0,-9.321634985731038,20.34456286643391,0.8343113,-0.006673305020276272,-9.026840024379226,2018-11-16 11:13:36.106586,-10.0,27.786840024379217,9.438365014268951,19.68156130673252
0,-9.672014935835392,18.82251491520947,0.8343113,-0.29181517818715025,-9.026840024379226,2018-11-16 11:13:36.124830,-10.0,27.786840024379217,9.087985064164602,19.68156130673252
0,-9.648422798162102,17.318624352109964,0.8343113,-0.3618956274801004,-9.026840024379226,2018-11-16 11:13:36.143086,-10.0,27.786840024379217,9.1115772018379,19.68156130673252
0,-8.76908498298485,17.672089041674838,0.8343113,0.07768299774198907,-9.026840024379226,2018-11-16 11:13:36.161307,-10.0,27.786840024379217,9.990915017015157,19.68156130673252
0,-9.329804266405802,19.445366777356533,0.8343113,-0.12355464304940725,-9.026840024379226,2018-11-16 11:13:36.179633,-10.0,27.786840024379217,9.43019573359419,19.68156130673252
0,-9.93478397965805,16.479899395209554,0.8343113,0.036938548621765765,-9.026840024379226,2018-11-16 11:13:36.197904,-10.0,27.786840024379217,8.82521602034196,19.68156130673252
0,-10.131987008292924,19.893384123183466,0.8343113,0.08729728483250164,-9.026840024379226,2018-11-16 11:13:36.216115,-10.0,27.786840024379217,8.628012991707084,19.68156130673252
0,-10.353891649485547,19.378830139243423,0.8343113,-0.3206413247009107,-9.026840024379226,2018-11-16 11:13:36.234366,-10.0,27.786840024379217,8.406108350514446,19.68156130673252
0,-10.411053082683765,18.483004977895686,0.8343113,-0.32893193855368164,-9.026840024379226,2018-11-16 11:13:36.252692,-10.0,27.786840024379217,8.348946917316248,19.68156130673252
